hour,score,games
0,0.52287166454892,787
1,0.4819078947368421,304
2,0.46218487394957986,119
3,0.45098039215686275,51
4,0.5,12
5,0.6,5
6,0.1111111111111111,9
7,0.5170940170940171,117
8,0.4779482262703739,1043
9,0.4763719512195122,656
10,0.45852534562211983,868
11,0.4853195164075993,1158
12,0.5266864343958487,1349
13,0.5126903553299492,985
14,0.48954578226387885,1387
15,0.5102545968882602,1414
16,0.4941126997476871,1189
17,0.47396335583413696,1037
18,0.49959709911361805,1241
19,0.48903290129611166,1003
20,0.5243101182654402,1522
21,0.5136307311028501,1614
22,0.49742268041237114,1746
23,0.5302375809935205,1389
