opening,side,score,games
Vienna Game,white,0.6085832471561531,967
Vienna Game Anderssen Defense,white,0.6023102310231023,303
Four Knights Game Scotch Variation,white,0.5725593667546174,379
Kings Pawn Opening,black,0.572347266881029,933
French Defense Queens Knight Variation,white,0.5431754874651811,359
Philidor Defense,white,0.5387096774193548,310
Three Knights Opening,white,0.5358342665173572,893
Petrovs Defense Three Knights Game,white,0.5338345864661654,532
Four Knights Game Scotch Variation Accepted,white,0.5284946236559139,930
Kings Pawn Opening Leonardis Variation,black,0.5253164556962026,237
Caro Kann Defense,white,0.5235507246376812,276
Petrovs Defense,black,0.519650655021834,229
Bishops Opening,black,0.5178571428571429,364
Van T Kruijs Opening,black,0.5071428571428571,350
Four Knights Game,black,0.48292682926829267,205
Queens Pawn Opening,black,0.48257839721254353,287
Italian Game Two Knights Modern Bishops Opening,black,0.4786885245901639,305
Queens Pawn Opening Zukertort Chigorin Variation,black,0.47543859649122805,285
Ruy Lopez Opening Berlin Defense,black,0.47150997150997154,351
Englund Gambit,black,0.4631449631449631,407
Scotch Game,black,0.46195652173913043,460
Scandinavian Defense,white,0.4528301886792453,477
Four Knights Game Italian Variation,black,0.43478260869565216,322
Scandinavian Defense Closed,white,0.43255512321660183,771
Queens Pawn Opening Chigorin Variation,black,0.42586750788643535,317
Nimzowitsch Defense Kennedy Linksspringer Variation,black,0.35,230
