hour,score,games
0,0.7626321974148061,851
1,0.7384105960264901,453
2,0.7572115384615384,208
3,0.7681818181818182,110
4,0.8076923076923077,104
5,0.7619047619047619,63
6,0.7714285714285715,70
7,0.79,50
8,0.6612903225806451,31
9,0.8134328358208955,67
10,0.6824324324324325,74
11,0.6756756756756757,74
12,0.6060606060606061,99
13,0.6234567901234568,162
14,0.7515527950310559,161
15,0.8006535947712419,153
16,0.7890070921985816,282
17,0.8309108527131783,1032
18,0.7452901281085155,1327
19,0.7489648033126294,966
20,0.7279511533242876,738
21,0.7120462046204621,606
22,0.7887517146776406,729
23,0.8267937219730942,892
